Product Category,Region,Sales
Office Supplies,Central,5.9
Office Supplies,West,13.01
Office Supplies,West,49.92
Office Supplies,West,41.64
Technology,West,1446.67
Office Supplies,West,2011.67
Technology,West,1451.37
Furniture,West,6362.85
Office Supplies,West,113.25
Office Supplies,West,1515.17
Office Supplies,West,28.61
Office Supplies,West,83.45
Technology,West,1705.08
Office Supplies,East,232.95
Furniture,East,705.47
Furniture,East,1794.27
Office Supplies,East,206.95
Furniture,East,211.15
Office Supplies,East,90.39
Furniture,Central,1164.45
Office Supplies,Central,22.23
Office Supplies,Central,13.99
Office Supplies,Central,14.26
Office Supplies,Central,29.55
Office Supplies,East,33.47
Office Supplies,East,379.53
Office Supplies,East,17.39
Office Supplies,East,19.04
Furniture,East,33.72
Office Supplies,East,38.18
Office Supplies,East,18.8
Technology,East,945.99
Office Supplies,East,45.6
Office Supplies,West,12.18
Office Supplies,West,34.75
Furniture,West,455.77
Office Supplies,West,646.49
Office Supplies,West,75.85
Office Supplies,West,65.69
Furniture,West,2575.93
Office Supplies,West,221.43
Technology,West,231.79
Office Supplies,Central,802.21
Furniture,Central,24.48
Office Supplies,Central,49.61
Furniture,East,1876.69
Office Supplies,East,293.06
Technology,East,914.29
Office Supplies,East,49.61
Office Supplies,East,54.79
Office Supplies,East,156.38
Office Supplies,East,2585.97
Office Supplies,East,303.4
Office Supplies,East,3085.41
Furniture,East,122.4
Furniture,East,10303.73
Office Supplies,East,872.68
Furniture,West,519.23
Office Supplies,West,1245.31
Office Supplies,West,165.11
Furniture,West,1591.71
Office Supplies,West,67.49
Office Supplies,West,2.25
Technology,West,2159.19
Office Supplies,West,105.99
Office Supplies,West,89.77
Technology,West,7.12
Office Supplies,West,7.81
Office Supplies,West,174.54
Office Supplies,West,1838.39
Office Supplies,West,619.14
Office Supplies,West,28.13
Office Supplies,West,54.16
Technology,West,170.67
Furniture,West,54.78
Office Supplies,West,142.51
Office Supplies,West,502.47
Furniture,West,204.57
Furniture,West,161.11
Technology,West,1730.04
Office Supplies,West,3.41
Office Supplies,West,226.03
Technology,West,164.1
Office Supplies,West,3.85
Office Supplies,West,99.56
Office Supplies,West,424.68
Technology,West,40.17
Technology,West,783.55
Technology,West,3838.14
Office Supplies,West,133.07
Technology,West,2157.25
Office Supplies,West,58.68
Office Supplies,West,53.1
Office Supplies,West,24.27
Furniture,West,640.97
Office Supplies,West,46.63
Technology,West,21366.51
Technology,West,394.37
Office Supplies,West,272.98
Office Supplies,West,73.81
Office Supplies,West,62.59
Office Supplies,Central,17.12
Office Supplies,Central,90.8
Office Supplies,Central,113.59
Office Supplies,West,30.96
Technology,West,299.74
